"wife_familyname_std","husband_familyname_std","year","marriage_number","husband_accession_after_marriage","wife_accession_after_marriage"
"Trevisan","Querini",1598,1,FALSE,TRUE
"Trevisan","Giustinian",1532,1,FALSE,TRUE
"Trevisan","Bragadin",1561,1,FALSE,TRUE
"Trevisan","Balbi",1488,1,FALSE,TRUE
"Trevisan","Bragadin",1529,1,FALSE,TRUE
"Trevisan","Pisani",1421,1,FALSE,TRUE
"Trevisan","Giustinian",1542,1,FALSE,TRUE
"Trevisan","Basadonna",1550,1,FALSE,TRUE
"Trevisan","Venier",1642,1,FALSE,TRUE
"Trevisan","Gussoni",1638,1,FALSE,TRUE
"Trevisan","Zorzi",1486,1,FALSE,TRUE
"Trevisan","Malipiero",1648,1,FALSE,TRUE
"Trevisan","Valaresso",1415,1,FALSE,TRUE
"Trevisan","Da Molin",1421,1,NA,TRUE
"Trevisan","Contarini",1519,1,FALSE,TRUE
"Trevisan","Donato",1424,1,FALSE,TRUE
"Trevisan","Trevisan",1531,1,TRUE,TRUE
"Trevisan","Da Molin",1464,1,NA,TRUE
"Trevisan","Contarini",1417,1,FALSE,TRUE
"Trevisan","Malipiero",1487,1,FALSE,TRUE
"Trevisan","Tron",1542,1,FALSE,TRUE
"Trevisan","Balbi",1587,1,FALSE,TRUE
"Trevisan","Tron",1544,1,FALSE,TRUE
"Trevisan","Morosini",1637,1,FALSE,TRUE
"Trevisan","Emo",1660,2,FALSE,TRUE
"Trevisan","Marcello",1495,1,FALSE,TRUE
"Trevisan","Pasqualigo",1519,1,FALSE,TRUE
"Trevisan","Balbi",1584,1,FALSE,TRUE
"Trevisan","Falier",1492,1,NA,TRUE
"Trevisan","Soranzo",1663,1,FALSE,TRUE
"Trevisan","Pisani",1667,2,FALSE,TRUE
"Trevisan","Gradenigo",1460,1,FALSE,TRUE
"Trevisan","Tron",1401,1,FALSE,TRUE
"Trevisan","Loredan",1410,1,FALSE,TRUE
"Trevisan","Marcello",1457,1,FALSE,TRUE
"Trevisan","Marcello",1541,1,FALSE,TRUE
"Trevisan","Soranzo",1543,1,FALSE,TRUE
"Trevisan","Zeno",1521,1,FALSE,TRUE
"Trevisan","Pisani",1571,1,FALSE,TRUE
"Trevisan","Sanudo",1483,1,FALSE,TRUE
"Trevisan","Da Molin",1548,1,NA,TRUE
"Trevisan","Vendramin",1639,1,FALSE,TRUE
"Trevisan","Renier",1534,1,FALSE,TRUE
"Trevisan","Donato",1568,1,FALSE,TRUE
"Trevisan","Deddo",1676,1,FALSE,TRUE
"Trevisan","Dolfin",1557,1,FALSE,TRUE
"Trevisan","Michiel",1522,1,FALSE,TRUE
"Trevisan","Grimani",1620,1,FALSE,TRUE
"Trevisan","Caravello",1487,1,FALSE,TRUE
"Trevisan","Donato",1396,1,FALSE,TRUE
"Trevisan","Marcello",1383,1,FALSE,TRUE
"Trevisan","Contarini",1461,1,FALSE,TRUE
"Trevisan","Ponte",1414,1,NA,TRUE
"Trevisan","Basadonna",1425,1,FALSE,TRUE
"Trevisan","Tron",1464,1,FALSE,TRUE
"Trevisan","Loredan",1645,1,FALSE,TRUE
"Trevisan","Dandolo",1573,1,FALSE,TRUE
"Trevisan","Bembo",1526,1,FALSE,TRUE
"Trevisan","Navager",1456,1,FALSE,TRUE
"Trevisan","Canal",1517,1,FALSE,TRUE
"Trevisan","Capello",1551,1,NA,TRUE
"Trevisan","Bragadin",1616,1,FALSE,TRUE
"Trevisan","Basadonna",1616,1,FALSE,TRUE
"Trevisan","Corner",1386,1,FALSE,TRUE
"Trevisan","Giustinian",1456,1,FALSE,TRUE
"Trevisan","Barbo",1486,1,FALSE,TRUE
"Trevisan","Bollani",1577,1,FALSE,TRUE
"Trevisan","Lippomano",1443,1,FALSE,TRUE
"Trevisan","Orio",1435,1,FALSE,TRUE
"Trevisan","Barozzi",1533,1,FALSE,TRUE
"Trevisan","Zane",1490,1,FALSE,TRUE
"Trevisan","Capello",1495,2,NA,TRUE
"Trevisan","Capello",1639,1,NA,TRUE
"Trevisan","Correr",1582,1,FALSE,TRUE
"Trevisan","Soderini",1683,1,FALSE,TRUE
"Trevisan","Sanudo",1547,1,FALSE,TRUE
"Trevisan","Pesaro",1547,1,FALSE,TRUE
"Trevisan","Bembo",1531,1,FALSE,TRUE
"Trevisan","Venier",1408,1,FALSE,TRUE
"Trevisan","Contarini",1443,1,FALSE,TRUE
"Trevisan","Contarini",1482,1,FALSE,TRUE
"Trevisan","Balbi",1486,1,FALSE,TRUE
"Trevisan","Venier",1550,1,FALSE,TRUE
"Trevisan","Priuli",1560,1,FALSE,TRUE
"Trevisan","Pasqualigo",1519,1,FALSE,TRUE
"Trevisan","Soranzo",1495,1,FALSE,TRUE
"Trevisan","Gradenigo",1564,1,FALSE,TRUE
"Trevisan","Corner",1609,1,FALSE,TRUE
"Trevisan","Pasqualigo",1591,1,FALSE,TRUE
"Trevisan","Briani",1596,2,FALSE,TRUE
"Trevisan","Priuli",1486,1,FALSE,TRUE
"Trevisan","Boldu",1487,1,FALSE,TRUE
"Trevisan","Barbaro",1583,1,FALSE,TRUE
"Trevisan","Condulmer",1559,1,NA,TRUE
"Tron","Trevisan",1501,1,TRUE,FALSE
"Valaresso","Trevisan",1484,1,TRUE,FALSE
"Valier","Trevisan",1529,1,TRUE,FALSE
"Valier","Trevisan",1466,1,TRUE,FALSE
"Venier","Trevisan",1553,1,TRUE,FALSE
"","Persico",1684,1,TRUE,NA
"Vezzi","Ferro",1450,1,FALSE,TRUE
"Vianol","Zorzi",1650,1,FALSE,TRUE
"Vitturi","Trevisan",1579,1,TRUE,FALSE
"Zanardi","Minelli",1630,1,TRUE,TRUE
"Zancaruol","Trevisan",1454,1,TRUE,FALSE
"Zanchis","Rota",1660,1,TRUE,NA
"Zane","Trevisan",1468,1,TRUE,FALSE
"Zane","Trevisan",1650,1,TRUE,FALSE
"Zane","Trevisan",1600,1,TRUE,FALSE
"","Pasta",1650,1,TRUE,NA
"Zeno","Trevisan",1535,1,TRUE,FALSE
"Zon","Lombardo",1420,1,FALSE,TRUE
"Zon","Pasqualigo",1418,1,FALSE,TRUE
"Zon","Coppo",1413,1,FALSE,TRUE
"Zon","Querini",1607,1,FALSE,TRUE
"Zon","Da Mula",1633,1,NA,TRUE
"Zon","Pasqualigo",1449,1,FALSE,TRUE
"Zon","Lippomano",1510,1,FALSE,TRUE
"Zon","Minio",1529,1,FALSE,TRUE
"Zon","Malipiero",1496,1,FALSE,TRUE
"Zorzi","Romieri",1472,1,TRUE,FALSE
"Zorzi","Trevisan",1499,1,TRUE,FALSE
"Zorzi","Trevisan",1570,1,TRUE,FALSE
"Recanati","Recanati",1684,1,TRUE,TRUE
